Column,word,desc,time,lang,pos
11,abolengo,"abolengo
                  m.
                  
                  (Noun)
                  ""ancestry""
               
                    Originally meaning that which is inherited from one's grandparents. From Old Spanish abolo ""grandparent"" (Modern Spanish abuelo) and -engo.",No Time Found,Old Spanish,Noun
12,abolorio,"abolorio
                  m.
                  
                  (Noun)
                  ""ancestry""
               
                    From Old Spanish abolo ""grandparent"" (see abuelo) and -orio.",No Time Found,Old Spanish,Noun
13,abrazo,"abrazo
                  m.
                  
                  (Noun)
                  ""hug""
               
                    15th cent. From a- and brazo.
                    
                 

Indo-European




Romance
Asturian abrazu, Portuguese abraço, Galician abrazo

 
Indo-European

 
Romance
Asturian abrazu, Portuguese abraço, Galician abrazo",15th cent.,Galician,Noun
14,abril,"abril
                  m.
                  
                  (Noun)
                  ""April""
               
                    Late 12th cent. From Latin Aprilem, accusative of Aprilis ""of April.""
                    Of unclear origin. A reconstruction of Proto-Italic *ap(e)ro ""April,"" ""the following month"" is posited by de Vaan (2014), building off of Proto-Indo-European *h2epo ""away"" (see ab-).
                 

Indo-European




Romance
Asturian abril, Portuguese abril, Galician abril, Catalan abril, French avril, Italian aprile, Aromanian aprir, Romanian (rare) prier, Sardinian aprile

 
Indo-European

 
Romance
Asturian abril, Portuguese abril, Galician abril, Catalan abril, French avril, Italian aprile, Aromanian aprir, Romanian (rare) prier, Sardinian aprile",12th cent.,Latin,Noun
16,abrir,"abrir
                  m.
                  
                  (Noun, Verb)
                  ""opening;"" ""open""
               
                    12th cent. From Latin aperire ""to open.""
                    From Proto-Italic *ap-wer-je- 'id.' The first element *ap- is from *h2ep- ""off,"" ""away"" (see ab-); the rest is from Proto-Indo-European *h2u̯er-i̯e/o- ""to cover."" A primary i̯e/o-present.
                 

Indo-European




Romance
Asturian abrir, Portuguese abrir, Catalan obrir, French ouvrir, Italian aprire, Aromanian apir, Sardinian abbèrrere

 
Indo-European

 
Romance
Asturian abrir, Portuguese abrir, Catalan obrir, French ouvrir, Italian aprire, Aromanian apir, Sardinian abbèrrere",12th cent.,Latin,Verb
17,absolución,"absolución
                  f.
                  
                  (Noun)
                  ""absolution""
               
                    13th cent. From Latin absolutionem, accusative of absolutio 'id.,' from absolvere ""to absolve"" (see absolver).",13th cent.,Latin,Noun
22,absoluto,"absoluto
                  
                  
                  (Adjective)
                  ""absolute""
               
                    15th cent. From Latin absolutus ""concluded,"" ""unrestricted."" From absolvere ""to absolve,"" ""to loosen."" See absolver.
                    
                 

Indo-European




Romance
Portuguese absoluto, Catalan absolut, French absolu, Italian assoluto, Romanian absolut

 
Indo-European

 
Romance
Portuguese absoluto, Catalan absolut, French absolu, Italian assoluto, Romanian absolut",15th cent.,Latin,Adjective
23,absolutorio,"absolutorio
                  
                  
                  (Adjective)
                  ""absolutory""
               
                    From Latin absolutorius ""pertaining to acquittal,"" from absolutus ""concluded"" (see absoluto).",No Time Found,Latin,Adjective
27,absolver,"absolver
                  
                  
                  (Verb)
                  ""to absolve""
               
                    13th cent. Borrowed from Latin absolver ""to absolve"" but also ""to loosen."" From ab- ""away"" and solvere ""to loosen."" See solver.
                    
                 

Indo-European




Romance
Asturian (Junquera Huergo) asuelver, Asturian (Parres) absolver, Portuguese absolver, Catalan absoldre, French absoudre, Italian assolvere, Romanian absolvi

 
Indo-European

 
Romance
Asturian (Junquera Huergo) asuelver, Asturian (Parres) absolver, Portuguese absolver, Catalan absoldre, French absoudre, Italian assolvere, Romanian absolvi",13th cent.,Latin,Verb
30,abuelo,"abuelo
                  
                  
                  (Noun)
                  ""grandparent""
               
                    11th cent. Old Spanish abolo. First attestation of abuela is 13th cent. From Vulgar Latin *aviolus ""grandfather"" (lit. ""little grandfather""), from Latin avus ""grandfather"" (see ayo and aya) and diminutive suffix -olus (see -uelo).
                    
                 

Indo-European




Romance
Asturian güelu, French aïeul

 
Indo-European

 
Romance
Asturian güelu, French aïeul",11th cent.,Old Spanish,Noun
32,aburrir,"aburrir
                  
                  
                  (Verb)
                  ""to bore""
               
                    13th cent. From Latin abhorrere ""to loathe,"" ""to recoil"" from ab- ""away from"" (see ab-) and horrere ""to dread,"" ""to shudder"" (see horror).
                    
                 

Indo-European




Romance
Portuguese avorrir, Galician aburrir, Catalan aborrir, French abhorrer, Italian aborrire, Romanian borî

 
Indo-European

 
Romance
Portuguese avorrir, Galician aburrir, Catalan aborrir, French abhorrer, Italian aborrire, Romanian borî",13th cent.,Latin,Verb
33,acá,"acá
                  
                  
                  (Adverb)
                  ""here,"" ""hither""
               
                    11th cent. From Vulgar Latin *ac(cu) hac from Latin eccum hac ""look at this."" For a continued etymology of eccum, see aquí.
                    Latin hac ""in this manner"" is from Proto-Italic *χā-ke ""by means of this here."" From Proto-Indo-European *geh2- or *ǵheh2-, both meaning ""this"" with suffix *-ḱe ""here.""
                 
                  As a contrastive with aquí, mostly confined to Latin America and only uncommonly found in Iberia. Typically, acá is used with motion verbs (e.g., vienes acá ""you come here"") while aquí is used for other purposes (e.g., se renta carros aquí ""cars are rented out here"").
                 

Indo-European




Romance
Asturian acá, Portuguese cá, Italian qua

 
Indo-European

 
Romance
Asturian acá, Portuguese cá, Italian qua",11th cent.,Vulgar Latin,Adverb
34,"Aca, Acahua","Aca, Acahua
                  
                  
                  (Surname)
                  
               
                    From Nahuatl acatl ""cane,"" ""reed.""
                    
                 
                  The surname Acahua ""owner of canes"" derives from acatl (see above) and hua, a possessive agent lexeme.",No Time Found,Nahuatl,No POS found
37,acabar,"acabar
                  
                  
                  (Verb)
                  ""to finish,"" ""to end""
               
                    12th cent. Literally ""to bring something to a head (i.e. 'conclusion')."" From a- and cabo.
                    
                 

Indo-European




Romance
Asturian acabar, Portuguese acabar, Catalan acabar, Occitan acabar

 
Indo-European

 
Romance
Asturian acabar, Portuguese acabar, Catalan acabar, Occitan acabar",12th cent.,Catalan,Verb
41,acceder,"acceder
                  
                  
                  (Verb)
                  ""to accede""
               
                    18th cent. borrowing from Latin accedere ""to approach."" From ad- ""toward"" (see a(d)-) and cedere ""to move,"" but more commonly ""to yield"" (see ceder).",18th cent.,Latin,Verb
42,acceso,"acceso
                  m.
                  
                  (Noun)
                  ""access""
               
                    15th cent. Borrowed from Latin accessus 'id.' From accedere ""to advance upon"" (see acceder).",15th cent.,Latin,Noun
45,accidente,"accidente
                  m.
                  
                  (Noun)
                  ""accident""
               
                    14th cent. From Latin accidentem, accusative of accidens 'id.,' a noun from the verb accidere ""to happen,"" ""to befall."" From ad- ""toward"" (see a(d)-) and cadere ""to fall"" (see caer).
                    
                 
                  The original sense of ""to happen"" is better preserved in the phrase por accidente ""by chance,"" ""coincidentally,"" and when used to describe the Christian eucharist (e.g. los accidentes del pan y vino ""the qualities of the bread and wine"").
                 

Indo-European




Romance
Old French accident

 
Indo-European

 
Romance
Old French accident",14th cent.,Latin,Noun
46,acción,"acción
                  f.
                  
                  (Noun)
                  ""action""
               
                    Late 15th cent. From Latin actionem, accusative of actio 'id.'
                    From Proto-Italic *ak-ti- 'id.,' derived from *ag-e/o- ""to act"" (see -igar).
                 

Indo-European




Romance
Asturian aición, Portuguese ação, Catalan acció, French action, Italian azione, Romanian acțiune


Italic
Umbrian ahti-

 
Indo-European

 
Romance
Asturian aición, Portuguese ação, Catalan acció, French action, Italian azione, Romanian acțiune
 
Italic
Umbrian ahti-",15th cent.,Latin,Noun
52,aceite,"aceite
                  m.
                  
                  (Noun)
                  oil
               
                    13th cent. Old Spanish azeyte. From Andalusian Arabic az-zayt 'id.,' from Arabic zayt 'id.'
                    
                 
                  Also the origin of the surname Aceite, originally given to olive growers.
                 

Indo-European




Romance
Asturian aceite, Portuguese azeite, Galician aceite

 
Indo-European

 
Romance
Asturian aceite, Portuguese azeite, Galician aceite
 

Afro-Asiatic



Egyptian
Coptic joeit ""olive""


Semitic
Maltese żejt ""oil,"" Hebrew záyit ""olive,"" Syriac zaytāʼ 'id.'

 
Afro-Asiatic

 
Egyptian
Coptic joeit ""olive""
 
Semitic
Maltese żejt ""oil,"" Hebrew záyit ""olive,"" Syriac zaytāʼ 'id.'",13th cent.,Old Spanish,Noun
53,acepción,"acepción
                  f.
                  
                  (Noun)
                  ""sense,"" ""meaning""
               
                    From Latin acceptionem, accusative of acceptio 'id.' From accipere ""to accept."" From ad- ""toward"" and capere ""to take"" (see caber).",No Time Found,Latin,Noun
54,aceptabilidad,"aceptabilidad
                  f.
                  
                  (Noun)
                  ""acceptability""
               
                    From Late Latin acceptabilitatem, accusative of acceptabilitas 'id.' From Latin acceptabilis ""acceptable"" (see aceptable).",No Time Found,Latin,Noun
55,aceptable,"aceptable
                  
                  
                  (Adjective)
                  ""acceptable""
               
                    From Latin acceptabilis 'id.,' from acceptare ""to accept"" (see aceptar).
                    
                 

Indo-European




Romance
Asturian aceptable, Galician aceptable, Catalan acceptable, Old French acceptable

 
Indo-European

 
Romance
Asturian aceptable, Galician aceptable, Catalan acceptable, Old French acceptable",No Time Found,Latin,Adjective
56,aceptación,"aceptación
                  f.
                  
                  (Noun)
                  ""success""
               
                    Very late 15th cent. From Latin acceptationem, accusative of acceptatio 'id.' From accipere ""to accept."" From ad- ""toward"" and capere ""to take"" (see caber).",15th cent.,Latin,Noun
57,aceptador,"aceptador
                  
                  
                  (Adjective, Noun)
                  ""accepting,"" ""acceptor""
               
                    From Latin acceptator 'id.' From acceptare ""to accept"" (see aceptar).",No Time Found,Latin,Noun
58,aceptar,"aceptar
                  
                  
                  (Verb)
                  ""to accept""
               
                    13th cent. Old Spanish acetar. From Latin acceptare 'id.,' from accipere 'id.' and frequentive suffix -tare (see note under faltar).
                    From ad- ""toward"" and capere ""to take"" (see caber).
                 

Indo-European




Romance
Asturian aceptar, Portuguese aceitar, Catalan acceptar, French accepter, Italian accettare

 
Indo-European

 
Romance
Asturian aceptar, Portuguese aceitar, Catalan acceptar, French accepter, Italian accettare",13th cent.,Old Spanish,Verb
60,aceptor,"aceptor
                  m.
                  
                  (Noun)
                  ""electron acceptor""
               
                    From Latin acceptor ""acceptor."" From acceptare ""to accept"" (see aceptar).",No Time Found,Latin,Noun
61,acera,"acera
                  f.
                  
                  (Noun)
                  ""sidewalk""
               
                    16th cent. From 13th cent. Old Spanish hacera, facera ""facade."" From Vulgar Latin *faciaria ""front of a building."" From Vulgar Latin *facia ""face,"" earlier facies (see haz).",16th cent.,Old Spanish,Noun
62,acerca,"acerca
                  
                  
                  (Preposition)
                  ""near""
               
                    12th cent. From the Latin phrase ad circa of the same meaning. See a for an etymology of ad; see cerca for an etymology of circa.
                    
                 

Indo-European




Romance
Portuguese acerca

 
Indo-European

 
Romance
Portuguese acerca",12th cent.,Latin,Preposition
64,-acho,"-acho
                  m.
                  Noun-forming suffix, often with a pejorative sense.
                  
                  
               
                    Perhaps from Latin -atio, a noun-forming suffix used to indicate the end result of a verb. From -at-, a supine verb ending, and -io, a suffix used to form abstract nouns from verbs (see -ío).",No Time Found,Latin,Noun
70,acordar,"acordar
                  
                  
                  (Verb)
                  ""to agree,"" ""to decide;"" (reflexive) ""to remember""
               
                    13th cent. From Vulgar Latin *accordare, from a(d)- ""toward"" (see a-), cor ""heart"" (see corazón), and verb-forming suffix -are.
                    
                 

Indo-European




Romance
Asturian acordar ""to remember"" but also ""to choose,"" Portuguese acordar, French accorder, Italian accordare ""to grant,"" ""to tune (an instrument),"" ""to agree""


Celtic
Old Irish creitid ""to believe,"" Middle Welsh credu 'id.,' Middle Breton crediff, Cornish cresy


Indo-Iranian
Sanskrit śrad-dhā- ""to believe""

 
Indo-European

 
Romance
Asturian acordar ""to remember"" but also ""to choose,"" Portuguese acordar, French accorder, Italian accordare ""to grant,"" ""to tune (an instrument),"" ""to agree""
 
Celtic
Old Irish creitid ""to believe,"" Middle Welsh credu 'id.,' Middle Breton crediff, Cornish cresy
 
Indo-Iranian
Sanskrit śrad-dhā- ""to believe""",13th cent.,Vulgar Latin,Verb
71,acorde,"acorde
                  m.
                  
                  (Adjective, Noun)
                  ""according;"" ""musical chord""
               
                    An adjectival from the 15th cent. From acordar.
                    
                 

Indo-European




Romance
Asturian (Central Asturias) acorde, Portuguese acorde, Galician acorde, Catalan acord, Old French acorde

 
Indo-European

 
Romance
Asturian (Central Asturias) acorde, Portuguese acorde, Galician acorde, Catalan acord, Old French acorde",15th cent.,Galician,Noun
73,acostar,"acostar
                  
                  
                  (Verb)
                  to lay, ""to lie;"" ""to go to bed,"" ""to put (another) to bed""
               
                    12th cent. From Medieval Latin accostare ""to contact,"" from ad- ""toward"" (see a(d)-) and costa ""side"" (see costa), a word created with the meaning to rest on one's side.",12th cent.,Latin,Verb
74,acto,"acto
                  m.
                  
                  (Noun)
                  ""act""
               
                    13th cent. A learned form of Latin actus 'id.' The native word is auto (2). From agere ""to do,"" ""to drive."" See -igar.",13th cent.,Latin,Noun
76,actual,"actual
                  
                  
                  (Adjective)
                  ""present day""
               
                    15th cent. From Late Latin actualis 'id.,' from Latin actus ""act"" (see auto (2)).
                    
                 

Indo-European




Romance
Portuguese atual, Galician actual, Catalan actual, French actuel, Italian attuale

 
Indo-European

 
Romance
Portuguese atual, Galician actual, Catalan actual, French actuel, Italian attuale",15th cent.,Latin,Adjective
77,actualidad,"actualidad
                  f.
                  
                  (Noun)
                  (temporal) ""present""
               
                    15th cent. From Medieval Latin actualitatem, accusative of actualitas 'id.' From Late Latin actualis ""present day"" (see actual).",15th cent.,Latin,Noun
82,actuante,"actuante
                  
                  
                  (Noun)
                  ""agent,"" ""actor""
               
                    From the Old Spanish participle of actuar.",No Time Found,Old Spanish,Noun
83,actuar,"actuar
                  
                  
                  (Verb)
                  ""to act;"" ""to activate""
               
                    16th cent. borrowing from Medieval Latin actuare 'id.,' a verb formed from Latin actus ""act"" (see auto (2) and acto).",16th cent.,Latin,Verb
84,actuaria,"actuaria
                  
                  
                  (Adjective)
                  ""swift-sailing""
               
                    17th cent. From Latin actuaria ""swift,"" from agere ""to do"" (see -igar).",17th cent.,Latin,Adjective
85,acuerdo,"acuerdo
                  m.
                  
                  (Noun)
                  ""agreement""
               
                    13th cent. A noun derived from acordar.
                    
                 

Indo-European




Romance
Asturian acordes, Portuguese acordo, Catalan acord, French accord, Italian accordo

 
Indo-European

 
Romance
Asturian acordes, Portuguese acordo, Catalan acord, French accord, Italian accordo",13th cent.,Catalan,Noun
86,acústico,"acústico
                  f.
                  
                  (Adjective, Noun)
                  ""acoustic,"" ""acoustics""
               
                    Early 18th cent. Borrowed from Ancient Greek ἀκουστικός (akoustikós) ""auditory,"" from ἀκούειν (akoyein) ""to hear,"" ""to obey.""
                    From Proto-Indo-European *h2eu̯s- ""to hear.""
                 

Indo-European




Germanic
Old Norse heyra ""to hear,"" Old High German hōren 'id.,' Old Dutch hōron 'id.,' Old Saxon hōrian 'id.,' Old Frisian hōra, hēra 'id.,' Old English hēran 'id.' (English hear)

 
Indo-European

 
Germanic
Old Norse heyra ""to hear,"" Old High German hōren 'id.,' Old Dutch hōron 'id.,' Old Saxon hōrian 'id.,' Old Frisian hōra, hēra 'id.,' Old English hēran 'id.' (English hear)",18th cent.,Ancient Greek,Noun
87,a(d)-,"a(d)-
                  
                  Prefix
                  
                  ""at,"" ""towards""
               
                    From Latin ad-.
                    From Proto-Italic *ad- 'id.,' a grammaticalized prefix from the preposition *ad (see a).
                 

Indo-European




Romance
Asturian a-, Portuguese a-, Galician a-, Catalan a-, French a-, Italian a-, Romanian a-


Italic
South Picene ad-, Oscan ad-, ar-, Volscian ar-, Umbrian ař-, -ař


Celtic
Gaulish ad-, Old Irish ad-, Welsh ad-


Germanic
Old High German az-


Phrygian
Phrygian αδ- (ad)

 
Indo-European

 
Romance
Asturian a-, Portuguese a-, Galician a-, Catalan a-, French a-, Italian a-, Romanian a-
 
Italic
South Picene ad-, Oscan ad-, ar-, Volscian ar-, Umbrian ař-, -ař
 
Celtic
Gaulish ad-, Old Irish ad-, Welsh ad-
 
Germanic
Old High German az-
 
Phrygian
Phrygian αδ- (ad)",No Time Found,Latin,No POS found
91,adiós,"adiós
                  
                  
                  (Interjection)
                  ""goodbye""
               
                    15th cent. From an earlier phrase in Old Spanish á Dios seas.
                    The phrase derives from the act in Romance languages of bidding one ""to God"" at their departure.
                 

Indo-European




Romance
Asturian adiós, Portuguese adeus, French adieu, Catalan adéu, Italian addio

 
Indo-European

 
Romance
Asturian adiós, Portuguese adeus, French adieu, Catalan adéu, Italian addio",15th cent.,Old Spanish,Interjection
92,-ado,"-ado
                  
                  Suffix
                  
                  Indicating likeness or relatedness.
               
                    From Latin -atus 'id.'
                    From Proto-Italic *-ātos. From Proto-Indo-European *-eh2-tós 'id.' The first element *-eh2- is a thematic vowel; the second element *-tós is an adjective-forming suffix.
                 

Indo-European




Romance
Asturian -áu, Portuguese -ado, Galician -ado, Catalan -at, French -é, Italian -ato, Romanian -at

 
Indo-European

 
Romance
Asturian -áu, Portuguese -ado, Galician -ado, Catalan -at, French -é, Italian -ato, Romanian -at",No Time Found,Latin,No POS found
93,adobe,"adobe
                  m.
                  
                  (Noun)
                  adobe
               
                    12th cent. From Arabic aṭ-ṭūb ""brick,"" which was borrowed from Coptic tōbe 'id.'
                    From Demotic tb 'id.' From Egyptian ḏbt 'id.'",12th cent.,Arabic,Noun
95,aero-,"aero-
                  
                  Prefix
                  
                  ""air""
               
                    From Ancient Greek ἀέρος ‎(aéros), genitive of ᾱ̓ήρ (aér) ""air.""
                    From Proto-Indo-European *h2eu̯s-er- 'id.' See also aire.",No Time Found,Ancient Greek,No POS found
96,aeropuerto,"aeropuerto
                  m.
                  
                  (Noun)
                  ""airport""
               
                    20th cent. neologism from aero- and puerto, a calque of French aéroport.",20th cent.,French,Noun
97,afeitar,"afeitar
                  
                  
                  (Verb)
                  ""to shave""
               
                    13th cent. Probably borrowed from another language, possibly Old French afeitier ""to adorn,"" which means there was an unwritten intermediary form in Old Spanish along the lines of *afaitar (see Korfagen 2016; see also Dworkin 2012).Less popular theories include that the word was borrowed from either Aragonese or Leonese afeitar ""to shave"" (RAE) or that the word evolved directly from Latin (Corominas 1991).Ultimately from Latin affectare ""to strive after,"" ""to feign."" See ahechar for a continued etymology.",13th cent.,French,Verb
100,agente,"agente
                  
                  
                  (Noun)
                  ""the worker,"" ""the one who acts,"" ""agent;"" ""minister;"" ""attorney""
               
                    16th cent. From Latin agentem, accusative of agens ""doing,"" ""making;"" itself derived as the participle from agere ""to do,"" ""to make"" (see -igar).
                    
                 

Indo-European




Romance
Asturian (Palluezu, Junquera Huergo) axente, Portuguese agente, Catalan agent, French agent, Italian agente, Romanian agent

 
Indo-European

 
Romance
Asturian (Palluezu, Junquera Huergo) axente, Portuguese agente, Catalan agent, French agent, Italian agente, Romanian agent",16th cent.,Latin,Noun
101,agitar,"agitar
                  
                  
                  (Verb)
                  ""to shake,"" ""to wave""
               
                    14th cent. borrowing from Latin agitare ""to conduct,"" from agere ""to do"" and frequentive suffix -tare (for the origin of this suffix, see note under faltar).
                    
                 

Indo-European




Romance
Leonese axitar, Portuguese agitar, Catalan agitar, French agiter, Italian agitare, Romanian agitare

 
Indo-European

 
Romance
Leonese axitar, Portuguese agitar, Catalan agitar, French agiter, Italian agitare, Romanian agitare",14th cent.,Latin,Verb
102,agosto,"agosto
                  m.
                  
                  (Noun)
                  ""August""
               
                    Late 12th cent. From Vulgar Latin *agustus 'id.,' from Latin Augustus ""of August."" Named after the first emperor of Rome, Augustus, and replaced the earlier name for the month, sextilis.
                    
                 

Indo-European




Romance
Asturian agostu, Galician agosto, Portuguese agosto, Catalan agost, French août, Italian agosto, Sardinian agústu

 
Indo-European

 
Romance
Asturian agostu, Galician agosto, Portuguese agosto, Catalan agost, French août, Italian agosto, Sardinian agústu",12th cent.,Vulgar Latin,Noun
103,agradable,"agradable
                  
                  
                  (Adjective)
                  ""agreeable""
               
                    From agradar and -able.
                    
                 

Indo-European




Romance
Asturian (Cabrales) agradable, Portuguese agradável, Catalan agradable, French agréable

 
Indo-European

 
Romance
Asturian (Cabrales) agradable, Portuguese agradável, Catalan agradable, French agréable",No Time Found,Catalan,Adjective
104,agradar,"agradar
                  
                  
                  (Verb)
                  ""to please""
               
                    12th cent. Old Spanish gradar with prefix a-. A verb from grado (2).
                    
                 

Indo-European




Romance
Asturian agradar, Portuguese agradar, Catalan agradar, French agréer, Italian aggradare

 
Indo-European

 
Romance
Asturian agradar, Portuguese agradar, Catalan agradar, French agréer, Italian aggradare",12th cent.,Old Spanish,Verb
105,agradecer,"agradecer
                  
                  
                  (Verb)
                  ""to thank;"" ""to be grateful for""
               
                    12th cent. Old Spanish gradecer with prefix a-. From grado (2) and inchoative suffix -ecer.
                    
                 

Indo-European




Romance
Asturian (Langreo, Aller) agraecer, Portuguese agradecer

 
Indo-European

 
Romance
Asturian (Langreo, Aller) agraecer, Portuguese agradecer",12th cent.,Old Spanish,Verb
106,agredir,"agredir
                  
                  
                  (Verb)
                  ""to attack""
               
                    Late 19th cent. borrowing from Latin aggredi ""to attack,"" but an older sense is ""to approach."" From ad- ""toward"" (see a-) and gradi ""to walk"" (more literally ""to step"").
                    Latin gradi is from Proto-Italic *grad-(e)i- 'id.' From Proto-Indo-European *ghr̥d(h)-(e)i̯- 'id.' From the Proto-Indo-European root *gred- ""to step."" 
                 

Indo-European




Romance
Portuguese agredir, Catalan agredir, French agresser, Italian aggredire

 
Indo-European

 
Romance
Portuguese agredir, Catalan agredir, French agresser, Italian aggredire",19th cent.,Latin,Verb
